year,site_type,DAQI,hours,,,,,,,,,
1997,Urban Traffic,mod.4,14.85714286,,,,,,,,,
1998,Urban Traffic,mod.4,13.4,,,,,,,,,
1999,Urban Traffic,mod.4,9.588235294,,,,,,,,,
2000,Urban Traffic,mod.4,7.842105263,,,,,,,,,
2001,Urban Traffic,mod.4,5.142857143,,,,,,year,site_type,DAQI,hours
2002,Urban Traffic,mod.4,2,,,,,,1997,Urban Traffic,mod.4,14.85714286
2003,Urban Traffic,mod.4,25.4,,,,,,1998,Urban Traffic,mod.4,13.4
2004,Urban Traffic,mod.4,24.95454545,,,,,,1999,Urban Traffic,mod.4,9.588235294
2005,Urban Traffic,mod.4,38.04545455,,,,,,2000,Urban Traffic,mod.4,7.842105263
2006,Urban Traffic,mod.4,34.76190476,,,,,,2001,Urban Traffic,mod.4,5.142857143
2007,Urban Traffic,mod.4,34.38888889,,,,,,2002,Urban Traffic,mod.4,2
2008,Urban Traffic,mod.4,38.20833333,,,,,,2003,Urban Traffic,mod.4,25.4
2009,Urban Traffic,mod.4,20.96296296,,,,,,,,,
2010,Urban Traffic,mod.4,25.7,,,,,,,,,
2011,Urban Traffic,mod.4,12.61290323,,,,,,,,,
2012,Urban Traffic,mod.4,9.103448276,,,,,,Type of Vehicle,Mean of NOx (µg/m3 ),Mean of Ozone (µg/m3 ),
2013,Urban Traffic,mod.4,4.5,,,,,,Petrol Cars,57.4,41,
2014,Urban Traffic,mod.4,3.857142857,,,,,,Diesel Cars,250.1,19,
2015,Urban Traffic,mod.4,4.736842105,,,,,,Petrol  LGVs,76.8,33.2,
2016,Urban Traffic,mod.4,5.06,,,,,,Diesel LGVs,12.9,53.9,
2017,Urban Traffic,mod.4,2.803278689,,,,,,Rigid HGV,86.3,26.5,
2018,Urban Traffic,mod.4,1.412698413,,,,,,Articulated,37.2,33.9,
2019,Urban Traffic,mod.4,0.696969697,,,,,,Buses & Coaches,78.4,70.1,
2020,Urban Traffic,mod.4,0.138461538,,,,,,,,,
2021,Urban Traffic,mod.4,0.080645161,,,,,,,,,
1997,Urban Traffic,mod.5,2.571428571,,,,,,,,,
1998,Urban Traffic,mod.5,0.666666667,,,,,,Type of Vehicle,Mean of NOx (µg/m3 ),Mean of Ozone (µg/m3 ),
